om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,ns,sn,sg,f1,f2,f3,f4
663882,2022,03,05,2022-03-05,17:22:00,3,MO,29,0,0.88,0,0,0,0,39.7400,-94.2400,39.7400,-94.2400,0,0,0,0,0,49,0,0,0
663883,2022,03,05,2022-03-05,17:23:00,3,IA,19,0,2.50,0,0,0,0,41.5800,-93.5000,41.5800,-93.5000,0,0,0,0,0,153,0,0,0
663884,2022,03,05,2022-03-05,17:26:00,3,MO,29,0,1.00,0,0,0,0,39.7400,-94.2400,39.7400,-94.2400,0,0,0,0,0,49,0,0,0
663885,2022,03,05,2022-03-05,17:29:00,3,MO,29,0,1.00,0,0,0,0,39.7400,-94.0000,39.7400,-94.0000,0,0,0,0,0,25,0,0,0
663886,2022,03,05,2022-03-05,17:45:00,3,MO,29,0,0.88,0,0,0,0,39.3700,-94.3600,39.3700,-94.3600,0,0,0,0,0,47,0,0,0
663887,2022,03,05,2022-03-05,17:55:00,3,MO,29,0,1.00,0,0,0,0,39.8000,-93.5400,39.8000,-93.5400,0,0,0,0,0,117,0,0,0
663888,2022,03,05,2022-03-05,17:56:00,3,MO,29,0,1.00,0,0,0,0,39.3500,-94.2300,39.3500,-94.2300,0,0,0,0,0,47,0,0,0
663889,2022,03,05,2022-03-05,17:57:00,3,IA,19,0,1.00,0,0,0,0,41.6600,-93.5000,41.6600,-93.5000,0,0,0,0,0,153,0,0,0
663890,2022,03,05,2022-03-05,18:08:00,3,MO,29,0,1.00,0,0,0,0,39.6500,-94.0400,39.6500,-94.0400,0,0,0,0,0,25,0,0,0
663891,2022,03,05,2022-03-05,18:08:00,3,MO,29,0,1.00,0,0,0,0,38.9000,-94.3600,38.9000,-94.3600,0,0,0,0,0,95,0,0,0
663892,2022,03,05,2022-03-05,18:09:00,3,MO,29,0,1.25,0,0,0,0,38.9000,-94.3500,38.9000,-94.3500,0,0,0,0,0,95,0,0,0
663893,2022,03,05,2022-03-05,18:10:00,3,MO,29,0,1.00,0,0,0,0,38.9400,-94.2600,38.9400,-94.2600,0,0,0,0,0,95,0,0,0
663894,2022,03,05,2022-03-05,18:21:00,3,MO,29,0,0.75,0,0,0,0,38.7900,-94.2500,38.7900,-94.2500,0,0,0,0,0,37,0,0,0
663895,2022,03,05,2022-03-05,18:22:00,3,MO,29,0,1.25,0,0,0,0,40.0800,-93.6100,40.0800,-93.6100,0,0,0,0,0,79,0,0,0
663896,2022,03,05,2022-03-05,18:33:00,3,MO,29,0,1.00,0,0,0,0,39.2700,-93.8300,39.2700,-93.8300,0,0,0,0,0,177,0,0,0
663897,2022,03,05,2022-03-05,18:40:00,3,MO,29,0,0.75,0,0,0,0,38.4000,-94.3500,38.4000,-94.3500,0,0,0,0,0,13,0,0,0
663898,2022,03,05,2022-03-05,18:50:00,3,MO,29,0,1.75,0,0,0,0,40.2100,-93.1200,40.2100,-93.1200,0,0,0,0,0,211,0,0,0
663899,2022,03,05,2022-03-05,18:51:00,3,MO,29,0,1.00,0,0,0,0,38.2700,-94.3500,38.2700,-94.3500,0,0,0,0,0,13,0,0,0
663900,2022,03,05,2022-03-05,19:07:00,3,MO,29,0,0.75,0,0,0,0,40.2000,-92.8100,40.2000,-92.8100,0,0,0,0,0,1,0,0,0
663901,2022,03,05,2022-03-05,19:10:00,3,MO,29,0,1.00,0,0,0,0,37.8400,-94.5100,37.8400,-94.5100,0,0,0,0,0,217,0,0,0
663902,2022,03,05,2022-03-05,19:26:00,3,MO,29,0,0.75,0,0,0,0,37.8600,-94.3500,37.8600,-94.3500,0,0,0,0,0,217,0,0,0
663903,2022,03,05,2022-03-05,19:36:00,3,IA,19,0,0.75,0,0,0,0,41.5200,-92.0800,41.5200,-92.0800,0,0,0,0,0,95,0,0,0
